No,ID Putusan,Kata Kunci,Halaman,Contoh Kalimat
1,100088,transfer pricing,15,f£ hasil penelitian atas metode transfer pricing yang dipilih dan diterapkan oleh Wajib Pajak atau pemilihan metode transfer pri...
2,100088,transfer pricing,52,...n dalam pengajuan kebaratan karena Pemohon Banding tidak memberikan . Dokumen — Transfer Pricing Documentation Local File pada saat pelaporan SPT Tahunan 2016 dan pada saat Pem...
3,100088,transfer pricing,61,"...dan informasi yang telah disampaikan, Pemohon Banding tidak memberikan Dokumen Transfer Pricing Dokumentation Local File Pada saat pelaporan SPT Tahunan 2016 dan pada saat Pem..."
4,100088,transfer pricing,62,...Rentang antarkuartil perusahaan-perusahaan sebanding yang diterima menurut data Transfer Pricing Documentation Local File For Fiscal Period 2016 yang dibuat oleh Ernst & Young...
5,100088,transfer pricing,64,...Pemohon Banding sendiri. Bahwa Pemohon Banding tidak memenuhi ketentuan tentang transfer pricing keharusan melampirkan Transfer Pricing Document. Semakin jelas ketidaksesuaian...
6,100088,transfer pricing,65,"7) b) Bahwa dalam alasannya, Pemohon Banding menggunakan data dari Transfer Pricing Documentation Local File 2016 for fiscal January 1, 2016- December 31, 2016 fro..."
7,100088,transfer pricing,81,...milihan: indikator tingkat laba oleh pemeriksa: £ hasil penelitian atas metode transfer pricing yang dipilih. dan. diterapkan oleh Wajib Pajak atau pemilihan metode transfer p...
8,100088,transfer pricing,84,"...mohon Banding juga sudah menyiapkan analisis yang terdapat pada Dokumen Lokal.- Transfer Pricing Documentation Local File 20176 for fiscal January 1, 2016 - Pera Holamon 84 d..."
9,100088,transfer pricing,89,"...ding yang sama seperti yang digunakan oleh Pemohon Banding pada Dokumen Lokai - Transfer Pricing Documentation Local File 2016 for fiscal January 1, 2016 - December 31, 2016, y..."
10,100088,transfer pricing,94,"...ding yang sama seperti yang digunakan oleh Pemohon Banding pada Dokumen Lokal - Transfer Pricing Documentation Local File 2016 for fiscal January 1, 2016 - December 31, 2016. B..."
11,100088,transfer pricing,95,"...a tidak ada ketentuan yang mewajibkan Pemohon Banding untuk melampirkan Dokumen Transfer Pricing Documentation Local File Pada saat pelaporan SPT Tahunan 2016. Dalam hal ini, P..."
12,100088,transfer pricing,96,"...n sudah tepat. Namun, Pemohon Banding selanjutnya menyampaikan Dokumen Lokal -. Transfer Pricing Documentation Local File 2016 for fiscal January 1, 2016 - December 37, 2016 pa..."
13,100088,transfer pricing,97,"Transfer Pricing Documentation Local File 2016 for fiscal January 1, 2016 - December 31, 2016 mi..."
14,100088,transfer pricing,105,"...ding yang sama seperti yang digunakan oleh Pemohon Banding pada Dokumen Lokal - Transfer Pricing Documentation Local File 2016 for fiscal January 1, 2016 - December 31, 2016...."
15,100088,transfer pricing,114,"...ju dengan alasan-alasan Terbanding untuk tidak mempertimbangkan Dokumen Lokal - Transfer Pricing Documentation Local File 2016 for fiscal January 1, 2016 - December 31, 2016 ya..."
16,100088,transfer pricing,115,"...transfer (yaitu, Dokumen Lokal - Benchmarking Study Report dan Dokumen Lokal - Transfer Pricing Documentation Local File 2016 for fiscal January 1, 2016 - December 31, 2016) y..."
17,100088,transfer pricing,116,"...arena antara data Dokumen Lokal - Benchmarking Study Report dan Dokumen Lokal - Transfer Pricing Documentation Local File 2016 for fiscal January 1, 2016 - December 31, 2016 ti..."
18,100088,transfer pricing,117,"...ju dengan alasan-alasan Terbanding untuk tidak mempertimbangkan Dokumen Lokal - Transfer Pricing Documentatiom Local File 2016 for fiscal January 1, 2016 --December.31, 2016 ya..."
19,100088,transfer pricing,118,"...melakukan koreksinya Pemohon Banding menyiapkan dan memberikan Dokumen Lokal - Transfer Pricing Documentation Local File 2016 for fiscal January 1, 2016 - December 31, 2016 un..."
20,100088,transfer pricing,119,"...ju dengan alasan-alasan Terbanding untuk tidak mempertimbangkan Dokumen Lokal - Transfer Pricing Documentation Local File 2016 for fiscal January 1, 2016 - December 31, 2016 mi..."
21,100088,transfer pricing,121,"...kegiatan usaha Pemohon Banding dengan benar, maka sesuai-dengan Dokumen Lokal - Transfer Pricing.Documentation Local File 2016 for fiscal January 112016 - December 31, 2016 yan..."
22,100088,transfer pricing,128,"...egara NTPN 199D05RK676EC90A8 tanggal 21 April 2017 sebesar Rp2.137.902.500,00: Transfer Pricing Document periode 1 Januari 2016 — 31 Desember 2016: Penjelasan tertulis tanpa..."
23,100088,transfer pricing,129,"...Bukti T-8... Penjelasan tertulis tanpa nomor tanggal 18 Mei 2022, Bukti T-9. . Transfer Pricing Documentation local file 2016, Bukti T-10. Benchmarking study report Rapala gr..."
24,100125,transfer pricing,12,...atas menjadi 2 (dua) bagian besar sebagai berikut: 1) Koreksi berkaitan dengan transfer pricing yang dibahas dalam poin C.1. sampai dengan C.4. 2) Koreksi non transfer-prici...
25,100125,transfer pricing,20,"...ang Mempunyai Hubungan Istimewa (“PER-22”) sebagai berikut. “Dalam pemeriksaan transfer pricing, tahapan persiapan dilakukan sesuai dengan tata cara pemeriksaan yang berlaku...."
26,100125,transfer pricing,21,...Putusan Pengadilan Pajak setpp.kemenkeu.go.id iktikad baiknya dengan memberikan Transfer Pricing Documentation Pemohon.Banding yang mendokumentasikan transaksi dan kewajaran t...
27,100125,transfer pricing,25,"...perundang-undangan yang berlaku Salinan standar Standar terkait pembentukan dan Transfer Pricing, pengelolaan transaksi antar perusahaan | pada grup PMI sehingga HMS dapat mema..."
28,100125,transfer pricing,28,"...ure of accounts nyata-nyata tidak diatur dalam ketentuan ""pajak “maupun panduan transfer pricing intemasional. Bahwa sesuai dengan Pasal 18 ayat (3) UU PPh, PER-22 dan SE-50, m..."
29,100125,transfer pricing,38,"...idak langsung terkait penyerahan jasa. Berdasarkan dokumen kontrak. dan panduan transfer pricing yang berlaku di Indonesia, perlu Pemohon Banding tekankan bahwa U Disclaimer |..."
30,100125,transfer pricing,41,"...an Mehta, “Formulating an Intra-Group Management Fee Policy: An Analysis from a Transfer Pricing and International Tax Perspective”, Intemational Transfer Pricing Joumal (2005)..."
31,100125,transfer pricing,42,"...tentu.” b. Brian Giannattasio, “United States — Provision of Services under US Transfer Pricing Rules”, Intemational Transfer Pricing Joumal (1999): 113 “The definition of co..."
32,100125,transfer pricing,43,"...Vliet, “Netherlands — Recharging Head Office Expenses: An Update”, Intemational Transfer Pricing Joumal (2005): 119 “The relevant costs that must be recharged for support serv..."
33,100125,transfer pricing,57,"...imbulkan marketing intangible. Bahwa Terbanding merujuk pada Paragraf 6.38 OECD Transfer Pricing Guidelines 2010 (“OECD TPG 2010”) sebagai berikut. “Whererthe, distributor act..."
34,100125,transfer pricing,62,...dari keadaan atau.kegiatan usaha ini semakin penting diperhatikan dalam konteks transfer pricing sebagaimana diatur dalam Lampiran | Bab II huruf B.2. PER-22 sebagai berikut. “...
35,100125,transfer pricing,63,...kondisi yang terdapat pada setiap kasus.” “et pemahaman fakta atas suatu kasus transfer pricing juga ertuang dalam Paragraf 4.7 OECD TPG 2010 yang mengatur sebagai berikut. “T...
36,100125,transfer pricing,66,...ahwa Operating Margin Pemohon Banding adalah tidak wajar berdasarkan analisis transfer pricing yang diatur dalam peraturan perpajakan yang berlaku. bahwa Pasal 18 ayat (3)...
37,100125,transfer pricing,67,...nding tidak didukung oleh bukti yang kompeten dan bertentangan dengan ketentuan transfer pricing di Indonesia sehingga Pemohon Banding mohon agar koreksi ini dibatalkan dan tid...
38,100125,transfer pricing,68,"...strasi/otoritas pajak yang menggunakan pembanding untuk mendukung"". penyesuaian Transfer Pricing, supaya menyediakan-informasi, pendukung yang sesuai untuk pihak yang berkepent..."
39,100125,transfer pricing,71,"...t may not be disclosed to the taxpayer. However, itiwould be unfair to apply a transfer pricing method on the. basis of Such data unless the tax administration was able, with..."
40,100125,transfer pricing,76,"...rgumen Pemohon Banding di atas, koreksi Terbanding berlawanan dengan peraturan transfer pricing.yang berlaku di Indonesia karena Terbanding tidak“ mempertimbangkan faktor ke..."
41,100125,transfer pricing,77,"Salinan Putusan Pengadilan Pajak setpp.kemenkeu.go.id Lebih lanjut, peraturan transfer pricing Indonesia yaitu Lampiran PER-22 mengatur“terkait pembanding yang dapat digunak..."
42,100125,transfer pricing,78,"...yang dipilih Terbanding tersebut sebagaimana yang dipersyaratkan dalam analisis transfer pricing. Berdasarkan perbandingan pembelian dari pihak afiliasi dan data,pembanding. ya..."
43,100125,transfer pricing,98,"...at may not be disclosed to the taxpayer. However, it would be unfair to apply a transfer pricing method on the basis of such data unless the tax administration was able, within..."
44,100125,transfer pricing,99,"...yata-nyata menunjukkan bahwa koreksi yang terjadi tidak tepat. 2. KOREKSI NON-TRANSFER PRICING C.5. Koreksi atas Penyesuaian Fiskal Positif terkait Biaya 3M (Mendapatkan, Me..."
45,100125,transfer pricing,211,"...an Pajak setpp.kemenkeu.go.id Pokok Sengketa 1. Koreksi yang berkaitan dengan Transfer Pricing C.1 Koreksi atas Biaya kepada Service Provider sebesar —— Rp 483.765.936.445,..."
46,100125,transfer pricing,224,"...piran Bab II Huruf B Angka I.a. Dijelaskan Rasio Finansial Dalam Pemeriksaan'transfer pricing, perlu dilakukan penelitian awal atas kinerja finansial Wajib Pajak untuk meng..."
47,100125,transfer pricing,232,...ubungan Istimewa dalam kondisi atau keadaan yang sebanding. Sehingga pengujian transfer pricing atau pengujian penerapan prinsip kewajaran dan kelaziman usaha Pemohon Banding...
48,100125,transfer pricing,233,...aan secret comparable. Penggunaan secret comparable dalam pemeriksaan transaksi Transfer Pricing dapat dilakukan dengan 2 cara : i) Menggunakan transaksi (atau Laporan Keuangan...
49,100125,transfer pricing,235,...tu dalam hal penentuan Karakteristik Usaha Pemohon Banding dan Pemilihan Metode Transfer Pricing serta Penerapan Prinsip Kewajaran dan Kelaziman Usaha. Terbanding menggunakan L...
50,100125,transfer pricing,240,...2 ayat (1) v Peraturan Dra jenderal Pajak ini berlaku untuk P an Hor Transfer (Transfer Pricing) atas transaksi Jgn Wajib Pajak Dalam Negeri atau Bentuk G saha Tetap di Indone...
51,100125,transfer pricing,242,.../ R mempunyai Hubungan Istimewa Pp DN a. Lampiran Bab I Huruf C N Pemeriksaan transfer pricing terhadap transaksi afiliasi pada hakikatnya adalah suatu pengujian atas penerap...
52,100125,transfer pricing,250,"...eneliti PN Penghasilan Bunga isa 2.963.462.641 | 34.123.400.704 2. Koreksi non Transfer Pricing C.5. Koreksi atas Penyesuaian Fiskal Positif Ne AN, (Mendapatkan, Menagih, clan..."
53,100125,transfer pricing,307,...kan atas jasa dari pihak afiliasi telah diuji sebagaimana didokumentasikan pada Transfer Pricing Documentation tahun pajak 2015 (“TP Doc”) Pemohon'Banding. Terdapat dua set ben...
54,100125,transfer pricing,312,...ature of accounts nyata-nyata tidak diatur dalam ketentuan pajak maupun panduan transfer pricing intemasional. 2) bahwa OECD Transfer Pricing Guidelines 2017 (“OECD TPG 2017”)...
55,100125,transfer pricing,313,"...tidak langsung terkait penyerahan jasa. Berdasarkan dokumen kontrak danspanduan transfer pricing yang berlaku di Indonesia, perlu Pemohon: Banding tekankan bahwa biaya 313 dar..."
56,100125,transfer pricing,332,...hon Banding telah melakukan pengujian PKKU sebagaimana dituangkan dalam dokumen Transfer Pricing Documentation Tahun 2015 yang telah mencakup transaksi biaya service provider i...
57,100125,transfer pricing,335,...pajak Indonesia dan seharusnya dibatalkan. | 7. Pemohon Banding telah membuat Transfer Pricing Documentation dan AUP Report berdasarkan ketentuan yang berlaku. a. Bahwa pen...
58,100125,transfer pricing,338,...istimewa sebagaimana dimaksud'dalam Pasal 18 ayat (4) UU PPh: | Ih. bahwa OECD Transfer Pricing Guidelines tahun 2010 mendefinisikan: Intra-group service: An activity (e.g. a...
59,100125,transfer pricing,339,"...jasa Oleh anggota group tersebut tidak memenuhi prinsip kewajaran, bahwa OECD Transfer Pricing Guidelines tahun 2010 pada Paragraf 7.11 menyebutkan: In general, no intra-gro..."
60,100125,transfer pricing,341,"...berpendapat bahwa pembayaran OC Service fee tidak memenuhi ketentuan dalam OECD Transfer Pricing Guidelines tahun 2010 pada Paragraf 7.6 dan Paragraf 71, karena tidak ada manfa..."
61,100125,transfer pricing,342,...gan istimewa sebagaimana dimaksud dalam Pasal 18 ayat (4) UU PPh: . bahwa OECD Transfer Pricing Guidelines'tahun'2010 mendefinisikan: Intra-group service: An activity (e.g. a...
62,100125,transfer pricing,343,Salinan Putusan Pengadilan Pajak setpp.kemenkeu.go.id h. bahwa OECD Transfer Pricing Guidelines tahun 2010 pada Paragraf 7.6 menyebutkan: Under the arm's length pr...
