No,ID Putusan,Pemohon Banding,Nomor Putusan,Tahun Pajak,Jenis Pajak,Amar Putusan,Kata Kunci,Jumlah Ditemukan,Halaman Ditemukan,Jumlah Hal Cocok,Total Hal Dokumen,Contoh Kalimat
1,100088,PT Rapala VMC Batam,PUT-006645.15/2021/PP/M.XVB Tahun 2023 PEMI KEADILAN BERDASARKAN KETUHANAN YANG ,2016,Pajak Penghasilan,-,transfer pricing,41,"15,52,61,62,64,65,81,84,89,94,95,96,97,105,114,115,116,117,118,119,121,128,129",23,143,f£ hasil penelitian atas metode transfer pricing yang dipilih dan diterapkan oleh Wajib Pajak atau pemilihan metode transfer pricing oleh pemeriksa:...
2,100125,PT HANJAYA MANDALA SAMPOERNA,PUT-007304.15/2020/PP/M.IIIA Tahun 2022 DEMI KEADILAN BERDASARKAN KETUHANAN YANG,2015,-,-,transfer pricing,82,"12,20,21,25,28,38,41,42,43,57,62,63,66,67,68,71,76,77,78,98,99,211,224,232,233,235,240,242,250,307,312,313,332,335,338,339,341,342,343,344,349,350,351,360,361,363,371",47,443,...iajukan banding di atas menjadi 2 (dua) bagian besar sebagai berikut: 1) Koreksi berkaitan dengan transfer pricing yang dibahas dalam poin C.1. sampai dengan C.4. 2) Koreksi non transfer-pricing yang dibahas dala...
3,100128,PT. WRIGLEY INDONESIA NPWP 02.414.572.4-056.000,PUT-007384.15/2021/PP/M.XIVB Tahun 2023,2017,Pajak Penghasilan,Mengabulkan sebagian,transfer pricing,16,"8,19,28,30,61,62,63,65,68,70,73,80",12,103,"...2, Poin B, “Tahapan Pelaksanaan Pemeriksaan”,.yang.menyatakan yaitu: “Dalam pelaksanaan pemeriksaan transfer pricing, Pemeriksa Pajak perlu memperhatikan dokumen yang menjadi dasar penerapan prinsip kewajaran dan kel..."
4,100212,PT Pacific World Nusantara,PUT-008988.15/2019/PP/M.XVI A Tahun 2023 PTi-Pacific World Nasantara,2014,Pajak Penghasilan,Mengabulkan seluruhnya,transfer pricing,4,"51,80,82,83",4,105,"Il. Invoice-invoice regional cost dari Hotelbeds (Thailand) Limited. mm. Transfer Pricing Documentation berupa Master File dan Local File tahun 2014. nn.SPHP Tahun 2014, SKPKB PPN JLN dan..."
5,100213,-,PUT-008992.15/2022/PP/M.VB Tahun 2023 Halaman 2 dari 103 halaman PT Arindo Trise,-,Pajak Penghasilan,-,transfer pricing,18,"8,26,29,37,40,81,83,84,88,90,92,93,94",13,103,...dan sesuai dengan Peraturan Direktur Jenderal Pajak Nomor PER- 221 ok ?N pd amen harga transfer (transfer pricing) berlaku atas transaksi par dilakukan Wajib Pajak Dalam Negeri dengan Wajib Pajak Luar Negeri: tra...
6,100233,PT HOGY INDONESIA,PUT-010065.15/2021/PP/M.XVIIIA Tahun 2023 DEMI KEADILAN BERDASARKAN KETUHANAN YA,2018,Pajak Penghasilan,Mengabulkan sebagian,transfer pricing,7,"37,38,39,40,49,69,70",7,84,"bahwa berdasarkan perhitungan dengan menggunakan metode pemeriksaan. Transfer Pricing, Metode CUP untuk penghasilan bunga pinjaman, diperoleh koreksi positif penghasilan lain-lain wajar..."
7,100243,PT.RIMBA HARAPAN SAKTI,PUT-010194.15/2022/PP/M.XA Tahun 2023 DEMI KEADILAN BERDASARKAN KETUHANAN YANG M,2019,Pajak Penghasilan,Mengabulkan sebagian,transfer pricing,6,"36,58,79,84",4,118,"...memberikan pedoman pemeriksaan, antara lain sebagai berikut: e.kampiran, Bab II Tahapan Pemeriksaan Transfer Pricing, huruf B. Tahapan Pelaksanaan Pemeriksaan, telah memberikan pedoman dalam : - menentukan karakter..."
8,100249,PT. Kemilau Rindang Abadi,PUT-010789.15/2022/PP/M.IA Tahun 2023,2019,Pajak Penghasilan,Mengabulkan seluruhnya,transfer pricing,1,75,1,148,...e. Meneliti apakah terdapat pembanding atas jasa intra-grup serta mark up-nya dan menerapkan metode transfer pricing yang paling sesuai dengan kondisi dan fakia. Lampiran | Bab II Huruf B Angka 3 huruf d Pemeriksa...
9,100258,PT PETNESIA RESINDO,PUT-011114.15/2022/PP/M.XXA Tahun 2023,2019,Pajak Penghasilan,Mengabulkan seluruhnya,transfer pricing,3,"8,25,34",3,52,"...keta Koreksi atas Harga Pokok Penjualan sebesar USD1,626,242 bahwa Terbanding melakukan pengujian transfer pricing atas transaksi antara Pemohon Banding dan pihak afiliasi, menggunakan metode TNMM dan Profit Level..."
10,100272,PT PANCASURYA AGRINDO,PUT-011671.15/2021/PP/M.XIIB Tahun 2023 DEMI KEADILAN BERDASARKAN KETUHANAN YANG,2018,Pajak Penghasilan,-,transfer pricing,12,"12,16,60,75,78,82,96,147",8,173,...adi pembanding” Pasal 2: “1) Peraturan Jenderal Pajak ini berlaku untuk Penentuan Harga Transfer (Transfer Pricing) atas transaksi yang dilakukan Wajib Pajak Dalam Negeri atau Bentuk Usaha Tetap di Indonesia dengan...
11,100289,PT-Binapratama Sakatojaya,PUT-011747.15/2022/PP /M.XXB Tahun 2023,2019,Pajak Penghasilan,-,transfer pricing,1,52,1,85,"...9 26, (Laporan Produksi Pabrik Tahun 2019 27. (Laporan Ekspordan Penjualan Loka Tahun 2019 28. (TP (Transfer Pricing) Docs (Masteriie dan Locaftle) Tahun 2019 29 (Peta Taram, Pata Repinting Tebun 2019 30. (Nota Timba..."
12,100318,PT M-150« INDONESIA,PUT-012372.15/2020/PP/M.VIA Tahun 2023 DEMI KEADILAN BERDASARKAN KETUHANAN YANG ,2017,Pajak Penghasilan,-,transfer pricing,19,"11,15,18,40,42,53,54,62,66,68,71,102,105,107,109",15,118,"...san dari Pemohon Banding adalah sebagai berikut: sem 1. bahwa Terbanding Sependapat dengan Metode Transfer Pricing yang PN Digunakan Pemohon Banding, Perusahaan Banding yang Diguna & AE ggunakan metode Rentang..."
13,100327,PT.Brenntag,PUT-012598.15/2020/PP/M.XVB Tahun 2023,2017,Pajak Penghasilan,Mengabulkan seluruhnya,transfer pricing,9,"11,12,16,43,60,68,80,84",8,96,...tan/kondisi prinsip kewajaran dan kelaziman usaha sesuai dengan peraturan penentuan harga transfer (transfer pricing) yang berlaku: ii. Jasa intra-grup yang disediakan oleh pihak afiliasi bukanmerupakan bagian dari...
14,100580,PT. NSK-Bearings Manufacturing (Indonesia),PUT-014050.15/2021/PP/M.VIB Tahun 2023 DEMI KEADILAN BERDASARKAN KETUHANAN YANG ,2018,Pajak Penghasilan,-,transfer pricing,10,"10,12,15,21,38,40,43,54,58",9,90,"...ak afiliasi NSK LTD (Japan) yang merupakan 99,9984 pemegang saham Pemohon Banding. Bahwa dalam OECD Transfer Pricing Guidelines paragraf 7.6 dinyatakan bahwa “The Activity provides a respective group-member with econ..."
15,100678,PT SANDVIK INDONESIA,PUT-009864.15/2021/PP/M.VIA Tahun 2023,2017,Pajak Penghasilan,-,transfer pricing,5,"13,53,83,89",4,174,"...stensi dan transfer intangible property atas pembayaran dimaksud dapat dibuktikan; bahwa dalam OECD Transfer Pricing Guideline paragraf 7.4 ditegaskan perlunya menguji eksistensi dan manfaat jasa, apakah jasa yang di..."
16,100737,PT EUROASIATIC JAYA,PUT-000167.15/2022/PP/M.IIIA Tahun 2023 DEMI KEADILAN BERDASARKAN KETUHANAN YANG,2018,Pajak Penghasilan,Mengabulkan sebagian,transfer pricing,26,"8,10,11,14,26,28,33,40,41,44,47,48,51,58,59,61,62,66,74",19,80,"...if 804.874,00 4.246.077,00 3.441.203,00 1. Koreksi Positif atas Penyesuaian Fiskal Positif terkait Transfer Pricing sebesar $US 3.441.203 Menurut Terbanding: Terbanding melakukan koreksi atas Pe “Es iskal Positif..."
17,100788,-,-,-,Pajak Penghasilan,-,transfer pricing,18,"14,15,16,39,50,51,55,64,66,90,91,98,106",13,112,"...atas transaksi tersebut merupakan pe S ghapusa usnahan inventory, kewajaranberdasarkan pengujian transfer pricing G ag 223.373.857,00 NA bahwa Tim Pemeriksa mempertahankan seluruh koreksi karena &a perusahaan pe..."
18,100921,PT Vincent Sheppard Indonesia,PUT-006213.15/2020/PP/M.IIA Tahun 2023 PT Vincent Sheppard Indonesia,2016,Pajak Penghasilan,Mengabulkan seluruhnya,transfer pricing,38,"12,13,14,15,17,22,23,25,27,32,43,44,45,46,48,49,55",17,66,"...Kondisi yang Sebenarnya atas Kegiatan Usaha Pemohon Banding oleh Terbanding bahwa dalam pemeriksaan transfer pricing, diperlukan pemahaman fakta yang mendalam untuk memperoleh data dan/atau informasi yang objektif se..."
19,100971,PT E@UALINDO MAKMUR ALAM SEJAHTERA,PUT-008221.15/2020/PP/M.VIA Tahun 2023 DEMI KEADILAN BERDASARKAN KETUHANAN YANG ,2014,-,-,transfer pricing,2,"50,54",2,60,"...erikut: Ayat (1): Peraturan Direktur Jenderal Pajak ini berlaku untuk Penentuan, Harga..Transfer (Transfer Pricing) atas transaksi yang dilakukan Wajib Pajak Dalam Negeri atau Bentuk Usaha Tetap di Indonesia dengan..."
20,101021,PT. KARYA AGUNG SAWITA,PUT-012489.15/2021/PP/M.VIB Tahun 2023 DEMI KEADILAN BERDASARKAN KETUHANAN YANG ,2018,Pajak Penghasilan,-,transfer pricing,6,"15,34,54,64,68,110",6,150,"...iasi (piutang. pihak berelasi) pada tahun 2018 tersebut telah dibuatkan dokumentasi harga transfer (Transfer Pricing Document) dan berdasarkan. pengujian ""kewajaran terlihat bahwa pemberian pinjaman afiliasi tersebut..."
21,101159,PT.ADIENT AUTOMOTIVE INDONESIA,PUT-007975.15/2021/PP/M.XA Tahun 2023 DEMI KEADILAN BERDASARKAN KETUHANAN YANG M,2018,Pajak Penghasilan,-,transfer pricing,38,"5,8,23,26,27,29,32,38,39,41,45,56,59,61,62,67,68,70,99,100,101,102,106",23,111,"...ng, berikut penjelasan dari Pemohon Banding: 1. bahwa Pemohon Banding telah menyampaikan Dokumen. Transfer Pricing 2018 kepada Terbanding dimana dalam. Dokumen Transfer Pricing 2018 Halaman ke-5 dar'111 halaman. P..."
22,101281,PT TRITUNGGAL SENTRA BUANA,PUT-008552.15/2022/PP/M.XVIIIB Tahun 2024,2019,Pajak Penghasilan,-,transfer pricing,6,"15,19,23,30,31,32",6,71,"...yat (1) f. Pasal 11 ayat (2) 9. Pasal 11 ayat (8) h. Pasal 11 ayat (14) i. Pasal 20 ayat(4) 7. OECD Transfer Pricing Guidelines for Multinational Enterprises and Tax Administrations, a. Article 9 point 1 b. Article 9..."
23,101298,-,-,2019,-,-,transfer pricing,2,"27,35",2,53,...N J/2013 tentang Penggunaan dan Metode ni In saan: e Organization for E id perationand Development Transfer Pricing culolyao CD TPG) Aa Hai 23 HATI PURUSOh Nda MO RORSS #5736 SPEAK NB FAR 2024 si PT Idemitsu Lube...
24,101409,PT. TD AUTOMOTVE COMPRESSOR INDONESIA,PUT-014108.15/2019/PP/M.XB Tahun 2023 DEMI,2016,Pajak Penghasilan,-,transfer pricing,7,"11,13,45,46,79,81",6,91,"...unctions they perform under the principles set out in Chapters I - Ill. The bahwa berdasarkan OECD Transfer Pricing Guideline tahun 2017, paragraph '6.50 disebutkan bahwa setiap anggota dari MNE group seharusnya men..."
